년월,시도명,읍면동명,업종명,이용자수,이용금액,총 유동인구,데이터기준일자
20-Oct,제주시,한경면,스포츠 및 레크레이션 용품 임대업,379,9929000,8621878.215,2021-07-28
20-Oct,제주시,한경면,중식 음식점업,989,25505500,8621878.215,2021-07-28
20-Oct,제주시,한림읍,과실 및 채소 소매업,696,58656570,23524170.41,2021-07-28
20-Oct,제주시,한림읍,관광 민예품 및 선물용품 소매업,801,20893316,23524170.41,2021-07-28
20-Oct,제주시,한림읍,그외 기타 종합 소매업,8967,584412910,23524170.41,2021-07-28
20-Oct,제주시,한림읍,일반유흥 주점업,293,87307000,23524170.41,2021-07-28
20-Oct,제주시,한림읍,육류 소매업,694,79207310,23524170.41,2021-07-28
20-Oct,제주시,한림읍,욕탕업,180,1625800,23524170.41,2021-07-28
20-Oct,제주시,한림읍,여관업,1705,139307573,23524170.41,2021-07-28
20-Oct,제주시,한림읍,스포츠 및 레크레이션 용품 임대업,545,23700500,23524170.41,2021-07-28
20-Oct,제주시,한림읍,슈퍼마켓,11486,461030718,23524170.41,2021-07-28
20-Oct,제주시,한림읍,수산물 소매업,1023,194035720,23524170.41,2021-07-28
20-Oct,제주시,한림읍,서양식 음식점업,12237,246506246,23524170.41,2021-07-28
20-Oct,제주시,한림읍,빵 및 과자류 소매업,2739,43068030,23524170.41,2021-07-28
20-Oct,제주시,한림읍,비알콜 음료점업,1464,19531960,23524170.41,2021-07-28
20-Oct,제주시,한림읍,마사지업,1,10000,23524170.41,2021-07-28
20-Oct,제주시,한림읍,내항 여객 운송업,703,18112500,23524170.41,2021-07-28
20-Oct,제주시,한림읍,기타음식료품위주종합소매업,35,2302480,23524170.41,2021-07-28
20-Oct,제주시,한림읍,기타 주점업,284,58686010,23524170.41,2021-07-28
20-Oct,제주시,한림읍,기타 외국식 음식점업,718,24353400,23524170.41,2021-07-28
20-Oct,제주시,한림읍,전시 및 행사 대행업,1772,67706500,23524170.41,2021-07-28
20-Oct,제주시,용담2동,한식 음식점업,21974,1002410806,17496303.89,2021-07-28
20-Oct,제주시,일도2동,욕탕업,130,1077000,26863445.66,2021-07-28
20-Oct,제주시,일도2동,여관업,172,7796026,26863445.66,2021-07-28
