,읍면동명,이용자수,이용금액,1인당 이용금액,계절
4,대륜동,23,1461800,63556.52173913043,봄
40,한림읍,1091,59465700,54505.682859761684,봄
25,용담2동,708,38577600,54488.13559322034,봄
9,봉개동,188,8714000,46351.063829787236,봄
39,한경면,246,11284700,45872.76422764228,봄
26,우도면,1362,60709500,44573.788546255506,봄
34,중문동,1382,60999100,44138.27785817655,봄
12,삼양동,2003,82655690,41265.94608087868,봄
14,성산읍,221,7948200,35964.705882352944,봄
18,애월읍,2306,81872760,35504.232437120554,봄
7,도두동,1358,47921300,35288.14432989691,봄
23,외도동,286,10048600,35134.96503496503,봄
38,표선면,2459,79566250,32357.15738104921,봄
1,구좌읍,378,11691200,30929.100529100528,봄
41,효돈동,1,9800000,9800000.0,여름
12,서홍동,24,13312270,554677.9166666666,여름
6,대천동,33,15779000,478151.51515151514,여름
4,대륜동,53,17973500,339122.641509434,여름
9,삼도1동,722,232810400,322452.07756232686,여름
3,노형동,2503,595380830,237866.8917299241,여름
19,영천동,307,62431410,203359.64169381108,여름
26,이도1동,1129,156112188,138274.74579273694,여름
