,년월,읍면동명,이용자수,이용금액,총 유동인구,업종명
264,2019-07-01,대천동,22601,707699332,56574740.76599999,식음료
6,2019-01-01,대천동,39,1722290,8836656.911,쇼핑
216,2019-06-01,대천동,16,7907000,8737695.701,문화레저
479,2019-12-01,대천동,20814,628632753,56136810.563999996,식음료
340,2019-09-01,대천동,9,2616000,8510895.317,문화레저
302,2019-08-01,대천동,1757,234565055,18856103.15,숙박업
299,2019-08-01,대천동,11,7130000,9428051.575,문화레저
344,2019-09-01,대천동,1183,145930368,17021790.634,숙박업
257,2019-07-01,대천동,6,742000,9429123.461,문화레저
174,2019-05-01,대천동,8,10223000,9006127.241,문화레저
429,2019-11-01,대천동,1246,157160148,17782715.874,숙박업
381,2019-10-01,대천동,5,1301000,9099450.405,문화레저
45,2019-02-01,대천동,32,892800,7723385.506,쇼핑
221,2019-06-01,대천동,21361,651071900,52426174.20599999,식음료
260,2019-07-01,대천동,1595,146190936,18858246.922,숙박업
232,2019-07-01,대천동,26,970750,9429123.461,쇼핑
436,2019-11-01,대천동,3647,182644717,35565431.748,소매업
350,2019-09-01,대천동,18946,543537335,51065371.902,식음료
265,2019-07-01,도두동,1235,143932005,17507336.748,소매업
308,2019-08-01,도두동,1258,111268210,17549661.532,소매업
265,2019-07-01,도두동,11423,611243916,21884170.935,식음료
430,2019-11-01,도두동,356,64800021,4096413.932,숙박업
91,2019-03-01,도두동,257,54647497,4004124.394,숙박업
50,2019-02-01,도두동,7862,507725797,19607001.77,식음료
222,2019-06-01,도두동,11375,735593500,21068990.89,식음료
134,2019-04-01,도두동,245,52936180,4212246.958,숙박업
437,2019-11-01,도두동,10460,769591120,20482069.66,식음료
91,2019-03-01,도두동,318,10846700,8008248.788,문화레저
480,2019-12-01,도두동,9993,685421459,20455845.3,식음료
464,2019-12-01,도두동,405,18604300,4091169.06,문화레저
258,2019-07-01,도두동,799,34799700,8753668.374,문화레저
7,2019-01-01,도두동,8779,555921960,20174487.2,식음료
49,2019-02-01,도두동,268,9700000,3921400.354,문화레저
300,2019-08-01,도두동,602,26700600,8774830.766,문화레저
345,2019-09-01,도두동,269,61190357,3699031.807,숙박업
387,2019-10-01,도두동,374,60906982,4330390.861,숙박업
49,2019-02-01,도두동,250,112684528,3921400.354,숙박업
7,2019-01-01,도두동,243,77823460,4034897.44,숙박업
222,2019-06-01,도두동,1237,121935020,16855192.712,소매업
179,2019-05-01,도두동,11066,750862452,22734837.90999995,식음료
473,2019-12-01,도두동,292,80927575,4091169.06,숙박업
351,2019-09-01,도두동,8632,552769700,18495159.035,식음료
